Section Task,Keywords,Section Name,Section Type,Task Description,Template Status,Text
06.1 Talones de Pagos \Check Stubs,Collecting pay stubs for employees.,Audit Prep,,"## Talones de Pagos - Preparación de Auditoría

Primero, queremos recopilar todos los talones de pago de los empleados para asegurarnos de que estén completos y cumplan con las normativas. Esto ayudará a facilitar el proceso de auditoría y garantizar que todos los registros estén en orden.

### Acciones a realizar:
1. Recopilar todos los talones de pago de los empleados.
2. Revisar los talones de pago para verificar su integridad.
3. Documentar cualquier discrepancia o falta de cumplimiento.
4. Asegurarse de que todos los talones de pago estén actualizados y disponibles para la auditoría.",Published,01:30
07. Contratistas y 1099s \Contractors and 1099s,Gathering documentation related to independent contractors.,Audit Prep,,"""Preparación de Auditoría - Contratistas y 1099s"" ""Primero, es importante reunir toda la documentación relevante relacionada con los contratistas independientes. Esto incluye formularios 1099 y cualquier otro registro que demuestre los pagos realizados a estos contratistas.""

Acciones:
1. Recopilar todos los formularios 1099 emitidos.
2. Revisar los registros de pagos a contratistas independientes.
3. Verificar que la documentación esté completa y correcta.
4. Preparar un resumen de los pagos realizados a cada contratista.",Published,02:30
10. Impuestos \Taxes,Gathering copies of the client's tax returns and related forms.,Audit Prep,,"Preparación de Auditoría
""Primero, queremos reunir copias de las declaraciones de impuestos del cliente y formularios relacionados para asegurarnos de que toda la documentación esté en orden para la auditoría. Esto incluye verificar la precisión y la integridad de la información presentada.""

Acciones a realizar:
1. Recopilar las declaraciones de impuestos del cliente y formularios relacionados.
2. Revisar la documentación para asegurar su precisión.
3. Identificar cualquier discrepancia o área que requiera atención.
4. Preparar un resumen de la documentación para la auditoría.",Published,01:30
09. Oficina en Casa \Home Office,Gathering documentation for home office deductions.,Audit Prep,,"""Preparación de Auditoría - Documentación para Deducciones de Oficina en Casa""
""Primero, se debe reunir toda la documentación necesaria para las deducciones fiscales relacionadas con la oficina en casa. Esto incluye recibos, facturas y cualquier otro documento que respalde los gastos.""
Elementos de Acción:
1. Recopilar todos los recibos y facturas relacionados con la oficina en casa.
2. Organizar la documentación por tipo de gasto.
3. Verificar que se cumplan los requisitos fiscales para las deducciones.
4. Crear un resumen de los gastos deducibles.",Published,01:30
10.2 Declaraciones 1040 \1040 Tax Returns,Obtaining copies of the federal income tax returns.,Audit Prep,,"## Preparación de Auditoría - Declaraciones 1040

Primero, es necesario revisar las declaraciones de impuestos federales 1040 y asegurarse de que toda la información esté completa y precisa. Esto incluye verificar ingresos, deducciones y créditos fiscales que se hayan reclamado.

### Elementos de acción:
1. Obtener copias de las declaraciones de impuestos 1040.
2. Revisar la información presentada en las declaraciones.
3. Identificar cualquier discrepancia o error.
4. Documentar cualquier hallazgo que requiera corrección.
5. Desarrollar un plan de acción para abordar cualquier problema identificado.

---

Language: English
<markdown>
## Audit Prep - 1040 Tax Returns

First, it is necessary to review the federal income tax returns 1040 and ensure that all information is complete and accurate. This includes verifying income, deductions, and tax credits claimed.

### Action Items:
1. Obtain copies of the 1040 tax returns.
2. Review the information reported on the returns.
3. Identify any discrepancies or errors.
4. Document any findings that require correction.
5. Develop a plan of action to address any identified issues.",Published,01:30
09.2 Declaración de Uso Exclusivo \Statement of exclusive use,Documenting that the home office space is used exclusively for business.,Audit Prep,,"""Preparación de Auditoría - Declaración de Uso Exclusivo""
""Primero, queremos documentar que el espacio de la oficina en casa se utiliza exclusivamente para fines comerciales. Esto es importante para asegurar el cumplimiento con las regulaciones fiscales y para maximizar las deducciones disponibles.""

Elementos de acción:
1. Revisar la documentación relacionada con el uso del espacio de la oficina.
2. Asegurarse de que el espacio cumple con los requisitos para su uso exclusivo como oficina.
3. Documentar el uso exclusivo y los detalles relevantes.
4. Preparar cualquier evidencia necesaria para respaldar la declaración.",Published,02:30
08.4 Kilometraje Detallado \Mileage log,Maintaining a detailed log of business vehicle mileage.,Audit Prep,,"08.4 Kilometraje Detallado - Preparación para Auditoría
""En esta sección, se busca mantener un registro detallado de los kilómetros recorridos en vehículos de negocio, lo cual es crucial para la auditoría y el cumplimiento normativo. Los registros precisos ayudan a garantizar que se cumplan las regulaciones fiscales y de gastos.""

Acciones:
1. Recopilar los registros de kilometraje de los vehículos.
2. Verificar que los registros sean precisos y estén actualizados.
3. Documentar cualquier discrepancia o error en los registros.
4. Asegurarse de que todos los registros cumplan con las normas fiscales correspondientes.",Published,01:30
08.3 Propiedad o Arrendamiento \Proof of Ownership/Lease,Providing documentation of vehicle ownership or lease agreement.,Audit Prep,,"Propiedad o Arrendamiento - Preparación de Auditoría
""El objetivo de esta sección es asegurar que se cuente con la documentación adecuada que demuestre la propiedad o el arrendamiento del vehículo. Es fundamental preparar todos los documentos necesarios para la auditoría y garantizar que estén en orden.""

Tareas:
1. Recopilar los documentos de propiedad del vehículo o el contrato de arrendamiento.
2. Revisar los documentos para verificar la validez y la integridad.
3. Asegurarse de que toda la documentación esté firmada y fechada correctamente.
4. Organizar los documentos en un formato fácil de revisar para la auditoría.",Published,01:30
09.5 Medidas Hogar y Oficina \Home and Office Dimensions,Recording the square footage of the home and the office space.,Audit Prep,,"Medidas Hogar y Oficina - Auditoría de Preparación
""Primero queremos registrar las dimensiones del hogar y del espacio de oficina para evaluar su uso eficiente y cumplimiento con las normas. Esto ayudará a identificar áreas que puedan necesitar mejoras o ajustes.""

Acciones a realizar:
1. Medir el área total de la vivienda.
2. Medir el área total del espacio de oficina.
3. Comparar las dimensiones con los estándares establecidos.
4. Documentar cualquier discrepancia o área de mejora.",Published,01:30
09.1 Calculos de Oficina de Casa \Home Office Calculations,Performing calculations for the allowable home office deduction.,Audit Prep,,"Preparación de Auditoría - Cálculos de Oficina en Casa
""Primero, se deben realizar cálculos precisos para determinar la deducción permitida por la oficina en casa, asegurando que todos los gastos y áreas deducibles estén correctamente documentados.""

Tareas:
1. Reunir los registros financieros relacionados con la oficina en casa.
2. Calcular los gastos deducibles, incluyendo servicios públicos, alquiler y suministros.
3. Revisar las regulaciones fiscales para asegurarse de que se cumplen los criterios de deducción.
4. Documentar todos los cálculos y deducciones para la auditoría.",Published,01:30
"10.1 Anexos \Schedules (A, B, C, E, F, SE)",Collecting specific tax schedules.,Audit Prep,,"Audit Prep - Análisis de Anexos
""Primero, queremos revisar los anexos específicos relacionados con la recolección de impuestos y asegurarnos de que estén completos y en cumplimiento con las normativas fiscales.""

Acciones:
1. Recopilar los anexos relevantes.
2. Revisar los anexos y verificar su cumplimiento.
3. Documentar cualquier área de incumplimiento.
4. Desarrollar o enumerar las acciones necesarias para lograr el cumplimiento.",Published,01:30
09.3 Fotos de Oficina de Casa \Home Office Photos,Providing visual evidence of the home office space.,Audit Prep,,"Auditoría - Preparación
""Primero queremos revisar el espacio de la oficina en casa y asegurarnos de que todas las fotos estén bien organizadas y representen adecuadamente el entorno de trabajo. Esto ayudará a proporcionar evidencia visual clara para el auditor.""

Tareas:
1. Recopilar todas las fotos de la oficina en casa.
2. Organizar las fotos en carpetas según las áreas (escritorio, sala de reuniones, etc.).
3. Revisar las fotos para garantizar que sean representativas y de buena calidad.
4. Documentar cualquier mejora necesaria en el espacio de trabajo.",Published,01:30
09.4 Gastos de Utilidades \Utilities Expense,Documenting utility expenses for the home.,Audit Prep,,"Gastos de Utilidades - Preparación de Auditoría
""Primero, es necesario revisar los registros financieros relacionados con los gastos de utilidades y asegurar que se estén documentando correctamente. Identificar cualquier área que requiera atención y asegurar que todos los gastos estén justificados y respaldados por recibos.""

Acciones a Realizar:
1. Recopilar todos los recibos y documentos de los gastos de utilidades.
2. Revisar los documentos para verificar su precisión y validez.
3. Documentar cualquier discrepancia o falta de respaldo.
4. Desarrollar un plan de acción para corregir cualquier error o falta de documentación.",Published,01:30
11.3 Resumen de Pagos y Fechas \Summary of Dates and Payments,Creating a summary of estimated tax payments made.,Audit Prep,,"Resumen de Auditoría - Preparación

En esta sección, se desea recopilar toda la documentación financiera necesaria y asegurarse de que todos los pagos de impuestos estimados se hayan realizado correctamente. Es fundamental revisar los registros para garantizar que no haya discrepancias y que se cumplan todas las normativas fiscales.

Tareas a realizar:
1. Recopilar todos los registros financieros relevantes.
2. Verificar los pagos de impuestos estimados realizados.
3. Revisar los documentos para detectar posibles discrepancias.
4. Documentar cualquier hallazgo y preparar un informe para la auditoría.",Published,01:30
"10.4 Forma Adicionales (4562, 8829, etc.) \Forms Additional (4562, 8829, etc.)",Collecting other relevant tax forms.,Audit Prep,,"Preparación de Auditoría - Forma Adicionales
""En esta sección, se revisarán y recopilarán otros formularios fiscales relevantes, como el 4562 y el 8829, para garantizar que se cumplan todos los requisitos fiscales y se optimicen las deducciones.""

Acciones:
1. Reunir los formularios fiscales adicionales relevantes.
2. Revisar los formularios para verificar su validez y cumplimiento.
3. Documentar cualquier discrepancia o falta de cumplimiento.
4. Desarrollar un plan de acción para abordar las discrepancias identificadas.",Published,01:30
11.2 Formas 1040-ES y Cheques CanceladosObtaining copies of estimated tax payment vouchers and canceled checks.,"Form 1040-ES, canceled checks, estimated tax vouchers",Audit Prep,,"En esta sección, nos enfocaremos en la preparación para la auditoría relacionada con la obtención de copias de los formularios de pago estimado de impuestos y cheques cancelados. Es crucial asegurarse de tener toda la documentación necesaria para poder responder a cualquier consulta durante el proceso de auditoría.

Acciones a realizar:
1. Solicitar copias de los formularios 1040-ES de los últimos años.
2. Recopilar cheques cancelados relacionados con los pagos estimados de impuestos.
3. Verificar que todos los documentos estén completos y en orden.
4. Organizar la documentación de manera que sea fácilmente accesible durante la auditoría.",Published,01:30
11.1 Comprobantes EFTPS o IRS Direct PayCollecting proof of electronic or direct payments to the IRS.,"EFTPS receipts, IRS Direct Pay confirmation",Audit Prep,,"Audit Prep - Comprobantes EFTPS o IRS Direct Pay
""Primero, es importante reunir todos los comprobantes de los pagos electrónicos realizados al IRS a través de EFTPS o IRS Direct Pay. Esto ayudará a asegurar que todos los pagos se registren correctamente y se mantenga una documentación adecuada.""

Acciones a realizar:
1. Reunir todos los comprobantes de pago electrónicos.
2. Verificar que los comprobantes correspondan a los pagos reportados.
3. Documentar cualquier discrepancia en los registros.
4. Asegurarse de que toda la documentación esté disponible para la auditoría.",Published,01:30
11. Pagos Estimados \Estimated Payment,Gathering documentation for estimated tax payments.,Audit Prep,,"Pagos Estimados - Preparación de Auditoría
""Primero se debe reunir la documentación necesaria para los pagos de impuestos estimados y asegurarse de que toda la información esté correcta y actualizada. Esto ayudará a evitar problemas con el IRS y garantizar que se realicen los pagos adecuados a tiempo.""

Elementos de Acción:
1. Recopilar todos los documentos relevantes relacionados con los pagos de impuestos estimados.
2. Verificar que la información de los documentos esté completa y actualizada.
3. Revisar y calcular las estimaciones de impuestos.
4. Documentar cualquier discrepancia o problema encontrado.
5. Preparar un cronograma de pagos para asegurar que se realicen a tiempo.",Published,02:30
10.3 Declaraciones Estatales y Locales \State and Local Returns,Gathering copies of state and local tax returns.,Audit Prep,,"Declaraciones Estatales y Locales - Preparación de Auditoría
""Primero, queremos recopilar las copias de las declaraciones de impuestos estatales y locales para garantizar que toda la información esté en orden antes de la auditoría. Esto incluye revisar las declaraciones para identificar cualquier discrepancia o problema potencial.""

Acciones:
1. Recopilar copias de las declaraciones de impuestos estatales y locales.
2. Revisar las declaraciones en busca de discrepancias.
3. Documentar cualquier problema encontrado.
4. Preparar un resumen de las declaraciones para la auditoría.",Published,01:30
10.5 Formas de Prarroga (4868/7004) \Extensions (4868/7004),Obtaining any filed tax extension forms.,Audit Prep,,"Preparación de Auditoría - Formas de Prorroga
""En esta sección, es fundamental revisar y asegurarse de que se han presentado todas las formas de prórroga necesarias para evitar sanciones fiscales. Esto incluye la recopilación de formularios de extensión y la verificación de su estado de presentación.""

Acciones a realizar:
1. Obtener todas las formas de prórroga presentadas.
2. Verificar el estado de cada forma de prórroga.
3. Documentar cualquier forma de prórroga que falte o esté pendiente.
4. Comunicar a los clientes cualquier acción necesaria relacionada con las formas de prórroga.

---

Language: English
<markdown>
Audit Prep - Extension Forms
""In this section, it is essential to review and ensure that all necessary extension forms have been filed to avoid tax penalties. This includes gathering extension forms and verifying their submission status.""

Action Items:
1. Obtain all filed extension forms.
2. Verify the status of each extension form.
3. Document any missing or pending extension forms.
4. Communicate any necessary actions to clients regarding the extension forms.",Published,01:30
13. NarrativaDeveloping explanations and justifications for certain items.,"audit narrative, explanations, justifications, supporting details",Audit Prep,,"[Preparación de Auditoría - Narrativa] ""Primero, queremos desarrollar explicaciones y justificaciones para ciertos elementos que se presentarán durante la auditoría. Esto implica analizar los detalles y proporcionar un contexto claro que respalde nuestras conclusiones.""

Elementos de acción:
1. Revisar los elementos que necesitan explicaciones.
2. Desarrollar justificaciones claras para cada elemento.
3. Documentar las explicaciones y justificaciones de manera concisa.
4. Asegurarse de que la narrativa esté alineada con los requisitos de la auditoría.",,02:30
13.1 Cambios en declaraciones previasExplaining any amendments or changes to prior year tax returns.,"amended returns, prior year amendments, tax return changes",Audit Prep,,"# Preparación de Auditoría - Cambios en Declaraciones Previas

En esta sección, se revisarán las enmiendas o cambios realizados en las declaraciones de impuestos del año anterior. Es fundamental asegurar que todas las modificaciones se documenten correctamente y se expliquen claramente para evitar discrepancias en futuras auditorías.

Acciones a realizar:
1. Recopilar las declaraciones de impuestos del año anterior.
2. Revisar las enmiendas realizadas y su justificación.
3. Documentar cualquier cambio en el formulario de impuestos.
4. Preparar un resumen que explique cada cambio realizado.",,01:30
13.3 Inventario de Documentos \Document Inventory,Creating a list of all documents included in the audit package.,Audit Prep,,"""Inventario de Documentos - Preparación de Auditoría"" ""Primero, queremos crear una lista completa de todos los documentos incluidos en el paquete de auditoría, asegurándonos de que estén organizados y sean accesibles para el equipo de auditoría.

Elementos de Acción:
1. Recopilar todos los documentos relevantes.
2. Revisar cada documento para asegurarse de que esté completo.
3. Organizar los documentos en categorías apropiadas.
4. Crear una lista final de documentos para el paquete de auditoría.""",,01:30
12.1 Cronóloga Financiera \Financial Timeline,Creating a timeline of key financial events during the tax year(s).,Audit Prep,,"Cronología Financiera - Preparación para Auditoría

Primero, queremos crear una cronología de los eventos financieros clave durante el año fiscal. Esto ayudará a identificar las fechas importantes y los hitos que pueden influir en el proceso de auditoría.

Acciones a realizar:
1. Reunir los registros financieros relevantes.
2. Identificar los eventos financieros clave y sus fechas.
3. Documentar los hitos en la cronología.
4. Revisar la cronología con el equipo para asegurarse de que no falte ningún evento importante.",,01:30
16. Presentar el paquete \Packet Presentation,Formally presenting the audit package to the client.,Audit Prep,,"""Presentación del Paquete - Auditoría"" ""Primero se desea presentar formalmente el paquete de auditoría al cliente, asegurándose de que todos los documentos necesarios estén en orden y que se aborden todas las inquietudes del cliente.""

Elementos de acción:
1. Preparar todos los documentos de auditoría necesarios.
2. Revisar el paquete para asegurarse de que esté completo.
3. Coordinar una reunión con el cliente para la presentación.
4. Presentar el paquete de auditoría y responder a cualquier pregunta del cliente.",,01:30
13.2 Notas de preparador fiscalIncluding any notes or explanations from the tax preparer.,"accountant notes, preparer notes, tax preparer comments",Audit Prep,,"Sección: Preparación de Auditoría
""Primero, se desea revisar los registros financieros y preparar la documentación necesaria para la auditoría. Esto incluye verificar la exactitud de los informes y asegurarse de que toda la información esté completa y en orden.""

Elementos de acción:
1. Recopilar los registros financieros relevantes.
2. Revisar los informes para verificar su exactitud.
3. Asegurarse de que toda la documentación necesaria esté presente.
4. Identificar y documentar cualquier discrepancia.
5. Preparar un informe con los hallazgos y las recomendaciones para la auditoría.",,02:30
13.4 Resumen de Ingreso y Gastos \Summary of Income and Expense,Providing a summary overview of the reported income and expenses.,Audit Prep,,"Resumen de Ingreso y Gastos - Análisis
""Primero, se desea revisar el resumen de ingresos y gastos reportados para identificar discrepancias y áreas de mejora en la gestión financiera.""

Elementos de acción:
1. Recopilar el resumen de ingresos y gastos reportados.
2. Revisar los informes en busca de discrepancias o errores.
3. Documentar cualquier discrepancia encontrada.
4. Desarrollar un plan de acción para mejorar la gestión financiera.",,02:30
14.1 Organizacion del PaqueteStructuring and labeling the audit document package.,"file structure, labeling, packet organization",Audit Prep,,"Organización del Paquete - Preparación de Auditoría
""Primero, queremos estructurar y etiquetar el paquete de documentos de auditoría de manera clara y efectiva. Esto incluye la creación de una jerarquía de carpetas y la asignación de etiquetas adecuadas para facilitar el acceso a los documentos necesarios.""

Tareas a realizar:
1. Definir la estructura de carpetas para el paquete de auditoría.
2. Etiquetar cada documento según su contenido y propósito.
3. Organizar los documentos en la jerarquía de carpetas establecida.
4. Revisar y verificar que todos los documentos estén correctamente etiquetados y organizados.",,02:30
12. RevisionReviewing the gathered documents and initial analysis.,"analysis check, audit review, document review",Audit Prep,,"## Auditoría Prep - Análisis

""Primero queremos revisar los documentos recopilados y analizar cualquier inconsistencia que pueda requerir atención. Esto incluirá una revisión exhaustiva y la identificación de áreas que necesitan ajustes.""

### Elementos de acción:
1. Recopilar todos los documentos relevantes.
2. Revisar los documentos y buscar inconsistencias.
3. Documentar cualquier inconsistencia encontrada.
4. Desarrollar un plan de acción para abordar las inconsistencias.",,01:30
12.2 Contexto de ingresos/gastosProviding context and explanations for income and expense patterns.,"business operations, expense context, income context, seasonality",Audit Prep,,"12.2 Contexto de ingresos/gastos - Preparación de auditoría
En esta sección, se busca revisar los patrones de ingresos y gastos de la empresa, proporcionando un contexto que ayude a entender las variaciones y tendencias. Es importante identificar las áreas que requieran atención y evaluar cómo la estacionalidad afecta las finanzas.

Acciones a realizar:
1. Recopilar los registros financieros relevantes.
2. Analizar los patrones de ingresos y gastos.
3. Identificar las variaciones estacionales.
4. Documentar cualquier hallazgo relevante.
5. Proponer acciones para mejorar la gestión financiera.",,01:30
15. Revision con Cliente \Client Review,Reviewing the compiled audit package with the client.,Audit Prep,,"Revisión con Cliente - Preparación de Auditoría
""Primero, queremos revisar el paquete de auditoría compilado con el cliente para asegurarnos de que toda la información es precisa y está completa. Esto nos ayudará a identificar cualquier área que necesite atención antes de la auditoría final.""

Elementos de Acción:
1. Revisar el paquete de auditoría compilado.
2. Identificar cualquier discrepancia o área que necesite aclaración.
3. Documentar las observaciones realizadas durante la revisión.
4. Programar una reunión de seguimiento con el cliente para discutir los hallazgos.

---

Language: English
Client Review - Audit Prep
""First, we want to review the compiled audit package with the client to ensure that all information is accurate and complete. This will help us identify any areas that need attention before the final audit.""

Action Items:
1. Review the compiled audit package.
2. Identify any discrepancies or areas needing clarification.
3. Document the observations made during the review.
4. Schedule a follow-up meeting with the client to discuss findings.",,01:30
14. Ensamblaje de Paquete \Packet Assembly,Organizing and compiling all audit-related documents.,Audit Prep,,"""Ensamblaje de Paquete - Preparación de Auditoría"" ""El objetivo de esta sección es organizar y compilar todos los documentos relacionados con la auditoría. Esto asegurará que toda la información necesaria esté disponible para una revisión eficiente y efectiva.

Lista de Acciones:
1. Recopilar todos los documentos auditables.
2. Verificar la integridad de los documentos recopilados.
3. Clasificar los documentos por tipo y relevancia.
4. Asegurarse de que todos los documentos estén firmados y fechados adecuadamente.""

""""",,02:30
17. Entrega \Submission,Submitting the audit documentation as required.,Audit Prep,,"Preparación de Auditoría
""Primero, queremos garantizar que toda la documentación necesaria esté lista y organizada para la auditoría. Esto incluye la recopilación de informes financieros y cualquier otro documento relevante que sea necesario para el proceso de auditoría.""

Acciones:
1. Recopilar la documentación necesaria para la auditoría.
2. Organizar los informes financieros y otros documentos relevantes.
3. Revisar la documentación para asegurar que esté completa.
4. Preparar un resumen de los documentos para presentarlos durante la auditoría.

---

Audit Prep
""First, we want to ensure that all necessary documentation is ready and organized for the audit. This includes gathering financial reports and any other relevant documents needed for the audit process.""

Action Items:
1. Gather the necessary documentation for the audit.
2. Organize financial reports and other relevant documents.
3. Review the documentation to ensure completeness.
4. Prepare a summary of the documents to be presented during the audit.",,01:30
